"Lang","Name","Value"
"de","1_min","1min."
"en","1_min","1 min"
"es","1_min","1m"
"fr","1_min","1m"
"it","1_min","1m"
"pt","1_min","1m"
"se","1_min","1 min"
"de","10_min","10min."
"de","10_min","125 Hz"
"en","10_min","10 min"
"es","10_min","10m"
"fr","10_min","10m"
"it","10_min","10m"
"pt","10_min","10m"
"se","10_min","10 min"
"en","125hz","125 Hz"
"es","125hz","125 Hz"
"fr","125hz","125 Hz"
"it","125hz","125 Hz"
"pt","125hz","125 Hz"
"se","125hz","125 Hz"
"de","16khz","16 kHz"
"en","16khz","16 kHz"
"es","16khz","16 kHz"
"fr","16khz","16 kHz"
"it","16khz","16 kHz"
"pt","16khz","16 khz"
"se","16khz","16 kHz"
"de","1khz","1 kHz"
"en","1khz","1 kHz"
"es","1khz","1 kHz"
"fr","1khz","1 kHz"
"it","1khz","1 kHz"
"pt","1khz","1 khz"
"se","1khz","1 kHz"
"se","240p","240"
"de","250hz","250 Hz"
"en","250hz","250 Hz"
"es","250hz","250 Hz"
"fr","250hz","250 Hz"
"it","250hz","250 Hz"
"pt","250hz","250 Hz"
"se","250hz","250 Hz"
"de","2khz","2 kHz"
"en","2khz","2 kHz"
"es","2khz","2 kHz"
"fr","2khz","2 kHz"
"it","2khz","2 kHz"
"pt","2khz","2 kHz"
"se","2khz","2 kHz"
"de","3_min","3min."
"en","3_min","3 min"
"es","3_min","3m"
"fr","3_min","3m"
"it","3_min","3m"
"pt","3_min","3m"
"se","3_min","3 min"
"de","31hz","31 Hz"
"en","31hz","31 Hz"
"es","31hz","31 Hz"
"fr","31hz","31 Hz"
"it","31hz","31 Hz"
"pt","31hz","31 Hz"
"se","31hz","31 Hz"
"se","480i","480"
"de","4khz","4 kHz"
"en","4khz","4 kHz"
"es","4khz","4 kHz"
"fr","4khz","4 kHz"
"it","4khz","4 kHz"
"pt","4khz","4 kHz"
"se","4khz","4 kHz"
"de","5_min","5min."
"en","5_min","5 min"
"es","5_min","5m"
"fr","5_min","5m"
"it","5_min","5m"
"pt","5_min","5m"
"se","5_min","5 min"
"de","50_hz","50 Hz"
"en","50_hz","50 Hz"
"es","50_hz","50 Hz"
"fr","50_hz","50 Hz"
"it","50_hz","50 Hz"
"pt","50_hz","50 Hz"
"se","50_hz","50 Hz"
"de","500hz","500 Hz"
"en","500hz","500 Hz"
"es","500hz","500 Hz"
"fr","500hz","500 Hz"
"it","500hz","500 Hz"
"pt","500hz","500 Hz"
"se","500hz","500 Hz"
"de","60_hz","60 Hz"
"en","60_hz","60 Hz"
"es","60_hz","60 Hz"
"fr","60_hz","60 Hz"
"it","60_hz","60 Hz"
"pt","60_hz","60 Hz"
"se","60_hz","60 Hz"
"de","63hz","63 Hz"
"en","63hz","63 Hz"
"es","63hz","63 Hz"
"fr","63hz","63 Hz"
"it","63hz","63 Hz"
"pt","63hz","63 Hz"
"se","63hz","63 Hz"
"de","8khz","8 kHz"
"en","8khz","8 kHz"
"es","8khz","8 kHz"
"fr","8khz","8 kHz"
"it","8khz","8 kHz"
"pt","8khz","8 kHz"
"se","8khz","8 kHz"
"de","aes","Console (AES)"
"en","aes","Console (AES)"
"es","aes","Console (AES)"
"fr","aes","Console (AES)"
"it","aes","Console (AES)"
"pt","aes","Console (AES)"
"se","aes","Console (AES)"
"de","analog","DualShock"
"en","analog","DualShock"
"es","analog","DualShock"
"fr","analog","DualShock"
"it","analog","DualShock"
"pt","analog","DualShock"
"se","analog","DualShock"
"de","analog_forced","DualShock (Forced)"
"en","analog_forced","DualShock (Forced)"
"es","analog_forced","DualShock (Forzado)"
"fr","analog_forced","DualShock (Forced)"
"it","analog_forced","DualShock (Forced)"
"pt","analog_forced","DualShock (Forced)"
"se","analog_forced","DualShock (Tvingad)"
"de","arcade_15","Arcade 15kHz"
"en","arcade_15","Arcade 15kHz"
"es","arcade_15","Arcade 15kHz"
"fr","arcade_15","Arcade 15kHz"
"it","arcade_15","Arcade 15kHz"
"pt","arcade_15","Arcade 15kHz"
"se","arcade_15","Arcade 15kHz"
"de","arcade_15_25","Arcade 15/25kHz"
"en","arcade_15_25","Arcade 15/25kHz"
"es","arcade_15_25","Arcade 15/25kHz"
"fr","arcade_15_25","Arcade 15/25kHz"
"it","arcade_15_25","Arcade 15/25kHz"
"pt","arcade_15_25","Arcade 15/25kHz"
"se","arcade_15_25","Arcade 15/25kHz"
"de","arcade_15_25_31","Arcade 15/25/31kHz"
"en","arcade_15_25_31","Arcade 15/25/31kHz"
"es","arcade_15_25_31","Arcade 15/25/31kHz"
"fr","arcade_15_25_31","Arcade 15/25/31kHz"
"it","arcade_15_25_31","Arcade 15/25/31kHz"
"pt","arcade_15_25_31","Arcade 15/25/31kHz"
"se","arcade_15_25_31","Arcade 15/25/31kHz"
"de","arcade_31","Naomi"
"en","arcade_31","Naomi"
"es","arcade_31","Naomi"
"fr","arcade_31","Naomi"
"it","arcade_31","Naomi"
"pt","arcade_31","Naomi"
"se","arcade_31","Naomi"
"de","asqrealc","Asqrealc"
"en","asqrealc","Asqrealc"
"es","asqrealc","Asqrealc"
"fr","asqrealc","Asqrealc"
"it","asqrealc","Asqrealc"
"pt","asqrealc","Asqrealc"
"se","asqrealc","Asqrealc"
"de","audio_jack","Audio Jack"
"en","audio_jack","Audio Jack"
"es","audio_jack","Audio Jack"
"fr","audio_jack","Audio Jack"
"it","audio_jack","Audio Jack"
"pt","audio_jack","Audio Jack"
"se","audio_jack","Hörlursuttag"
"de","auto_play","De-/Aktivierung AutoPlay"
"en","auto_play","Enable/Disable AutoPlay"
"es","auto_play","Activar/Desactivar AutoPlay"
"fr","auto_play","Activer/Désactiver l'AutoPlay"
"it","auto_play","Disattiva/Attiva AutoPlay"
"pt","auto_play","Des/Activar AutoPlay"
"se","auto_play","Aktivera/Avaktivera AutoPlay"
"de","black_screen","Schwarz"
"en","black_screen","Black"
"es","black_screen","Negro"
"fr","black_screen","Noir"
"it","black_screen","Nero"
"pt","black_screen","Preto"
"se","black_screen","Svart"
"de","bluetooth","Bluetooth"
"en","bluetooth","Bluetooth"
"es","bluetooth","Bluetooth"
"fr","bluetooth","Bluetooth"
"it","bluetooth","Bluetooth"
"pt","bluetooth","Bluetooth"
"se","bluetooth","Bluetooth"
"de","button_style","Button Style"
"en","button_style","Button Style"
"es","button_style","Estilo Botones"
"fr","button_style","Style de Boutons"
"it","button_style","Mappatura Pulsanti"
"pt","button_style","Estilo de botões"
"se","button_style","Knapplayout"
"de","cable_error","RGB-Pi Hardware wurde nicht erkannt.||Um die optimale Bild- und Tonqualität zu garantieren, das System Development und den offiziellen Support zu unterstützten, kaufen Sie bitte die original Hardware.||Mehr Informationen auf: http://rgb-pi.com"
"en","cable_error","RGB-Pi hardware not detected.||To guarantee the highest image and sound quality, to recieve technical support, and to support system development, please consider purchasing original hardware.||For additional information: http://rgb-pi.com"
"es","cable_error","Hardware RGB-Pi no detectado.||Para garantizar la máxima calidad de imágen y sonido, apoyar el desarrollo del sistema y tener soporte oficial, considera comprar hardware original.||Para más información visita: http://rgb-pi.com"
"fr","cable_error","Hardware RGB-Pi non détecté.||Afin de garantir la meilleure qualité d'image et de son, pour soutenir le projet et d'obtenir le support officiel, merci d'acheter le hardware d'origine.||Pour plus d'informations, visitez http://rgb-pi.com"
"it","cable_error","Cavo RGB-Pi non rilevato.||Per garantire la migliore qualità audio e video, supportare gli sviluppatori e avere supporto ufficiale, valuta l'acquisto del cavo originale.||Per ulteriori informazioni visita: http://rgp-pi.com"
"pt","cable_error","Hardware RGB-Pi não detectado.||Para garantir a máxima qualidade de imagem e vídeo, para apoiar o desenvolvimento do sistema e ter suporte oficial, considera comprar o hardware original.||Para mais informação visita: http://rgb-pi.com"
"se","cable_error","Officiell RGB-Pi-kabel inte upptäckt.||Vänligen överväg ett inköp av originalkabeln. Detta är för att säkerställa bästa bild- och ljudkvalitet samt att det ger dig teknisk support och du stödjer samtidigt utvecklarna av mjukvaran.||Mer information: http://rgb-pi.com"
"de","cheevos","Achievements"
