 ,0,0,8,17
-,8,0,8,17
/,16,0,8,17
0,24,0,8,17
1,32,0,8,17
2,40,0,8,17
3,48,0,8,17
4,56,0,8,17
5,64,0,8,17
6,72,0,8,17
7,80,0,8,17
8,88,0,8,17
9,96,0,8,17
A,0,17,8,17
B,8,17,8,17
C,16,17,8,17
D,24,17,8,17
E,32,17,8,17
F,40,17,8,17
G,48,17,8,17
H,56,17,8,17
I,64,17,8,17
J,72,17,8,17
K,80,17,8,17
L,88,17,8,17
M,96,17,8,17
N,0,34,8,17
O,8,34,8,17
P,16,34,8,17
Q,24,34,8,17
R,32,34,8,17
S,40,34,8,17
T,48,34,8,17
U,56,34,8,17
V,64,34,8,17
W,72,34,8,17
X,80,34,8,17
Y,88,34,8,17
Z,96,34,8,17
_,0,51,8,17
·,8,51,8,17
heart,16,51,8,17
Ç,24,51,8,17
Ã,32,51,8,17
É,40,51,8,17
Ê,48,51,8,17
È,56,51,8,17
Ó,64,51,8,17
Õ,72,51,8,17
Ô,80,51,8,17
Í,88,51,8,17
(,96,51,8,17
),0,68,8,17
Á,8,68,8,17
history,16,68,8,17
lightgun,24,68,8,17
Å,32,68,8,17
Ä,40,68,8,17
Ö,48,68,8,17
